# TW_historical.csv — TAIEX annual seed, 2000-12-31 onward.
#
# Schema (per SHARED_NOTES.md / Agent 3 §4):
#   date,index_level,dividend_yield,buyback_yield,rfr_rate,trailing_eps,
#   analyst_5yr_growth,payout_ratio,source,notes
#
# - Decimals (0.0410, not 4.10). Yields are gross.
# - Blank fields filled at seed time:
#     index_level    ← yfinance ^TWII Dec close
#     rfr_rate       ← TW override (Investing.com taiwan-10y; no FRED series)
#                      LIVE only — historical rfr cannot be backfilled by override;
#                      blanks here trigger spec.default_rfr_fallback for all years.
# - trailing_eps blank → DDM-only seed (FCFE deferred per Agent 3 §3).
# - analyst_5yr_growth ALWAYS blank → MarketSpec default at seed time.
#
# DIVIDEND YIELD SOURCES (hand-keyed annual averages, v1):
#   2000–2010: TWSE *Annual Statistics* + Bloomberg historical
#              (TAIEX P/D and total return).
#   2011–2024: TWSE official TAIEX dividend yield monthly archive
#              + 0050.TW (Yuanta Taiwan 50) trailing TTM cross-check.
#   2025:      0050.TW trailing TTM (TWD-native; published by Yuanta).
# PAYOUT RATIO SOURCES (Agent 2 §3 anchor):
#   Flat 0.65 (Taiwan dividend culture is strong; TSMC ~50% payout
#   plus insurer-heavy aggregate pushes index payout closer to UK
#   than to other EMs).
# BUYBACK YIELD SOURCES:
#   Flat 0.003 (TWSE buybacks exist but small; not a Korea/Japan-style
#   programmatic story).
#
# v1 limitations: pre-2005 dividend yield reconstruction relies on
# fragmentary TWSE factbook data — ±0.4pp tolerance per year.
# RFR is fallback-constant (0.016) for ALL historical rows because
# the TW override is live-only (no historical scrape). Phase 5
# candidate: ingest TPEx historical bond auction CSV.
date,index_level,dividend_yield,buyback_yield,rfr_rate,trailing_eps,analyst_5yr_growth,payout_ratio,source,notes
2000-12-31,,0.0250,0.003,,,,0.65,seed:TW:csv,dot-com bust
2001-12-31,,0.0140,0.003,,,,0.65,seed:TW:csv,
2002-12-31,,0.0270,0.003,,,,0.65,seed:TW:csv,
2003-12-31,,0.0290,0.003,,,,0.65,seed:TW:csv,
2004-12-31,,0.0340,0.003,,,,0.65,seed:TW:csv,
2005-12-31,,0.0370,0.003,,,,0.65,seed:TW:csv,
2006-12-31,,0.0340,0.003,,,,0.65,seed:TW:csv,
2007-12-31,,0.0330,0.003,,,,0.65,seed:TW:csv,
2008-12-31,,0.0700,0.003,,,,0.65,seed:TW:csv,GFC dividend spike
2009-12-31,,0.0410,0.003,,,,0.65,seed:TW:csv,
2010-12-31,,0.0320,0.003,,,,0.65,seed:TW:csv,
2011-12-31,,0.0470,0.003,,,,0.65,seed:TW:csv,
2012-12-31,,0.0360,0.003,,,,0.65,seed:TW:csv,
2013-12-31,,0.0290,0.003,,,,0.65,seed:TW:csv,
2014-12-31,,0.0330,0.003,,,,0.65,seed:TW:csv,
2015-12-31,,0.0420,0.003,,,,0.65,seed:TW:csv,
2016-12-31,,0.0400,0.003,,,,0.65,seed:TW:csv,
2017-12-31,,0.0370,0.003,,,,0.65,seed:TW:csv,
2018-12-31,,0.0500,0.003,,,,0.65,seed:TW:csv,
2019-12-31,,0.0380,0.003,,,,0.65,seed:TW:csv,
2020-12-31,,0.0290,0.003,,,,0.65,seed:TW:csv,COVID rally
2021-12-31,,0.0270,0.003,,,,0.65,seed:TW:csv,
2022-12-31,,0.0490,0.003,,,,0.65,seed:TW:csv,
2023-12-31,,0.0330,0.003,,,,0.65,seed:TW:csv,
2024-12-31,,0.0260,0.003,,,,0.65,seed:TW:csv,
2025-12-31,,0.0240,0.003,,,,0.65,seed:TW:csv,
