# CN_historical.csv — MSCI China annual seed, 2011-12-31 onward (MCHI ETF
# inception 2011-03; pre-2011 truncated for v1 — Phase 5 candidate to backfill
# from MSCI China factsheet archive).
#
# Schema (per SHARED_NOTES.md / Agent 3 §4):
#   date,index_level,dividend_yield,buyback_yield,rfr_rate,trailing_eps,
#   analyst_5yr_growth,payout_ratio,source,notes
#
# - Decimals (0.0220, not 2.20). Yields are gross.
# - Blank fields filled at seed time:
#     index_level    ← yfinance MCHI Dec close (USD-listed proxy for MSCI China)
#     rfr_rate       ← CN override live chain (Investing.com→US+NDF→constant);
#                      historical rfr cannot be backfilled by override — blanks
#                      trigger spec.default_rfr_fallback (~2.0%) for all years.
# - trailing_eps blank → DDM-only seed (FCFE deferred per Agent 3 §3).
# - analyst_5yr_growth ALWAYS blank → MarketSpec default at seed time.
#
# DIVIDEND YIELD SOURCES (hand-keyed annual averages, v1):
#   2005–2014: MSCI China Index Standard *factsheet* archive (MSCI
#              publishes trailing index yields quarterly; year-end obs).
#   2015–2024: iShares MCHI ETF distributions / ETF NAV at year-end
#              (MSCI China official factsheet cross-check).
#   2025:      MCHI trailing TTM (yfinance MCHI.info trailingDivY ≈ 2.2%).
# PAYOUT RATIO SOURCES (Agent 2 §3 anchor):
#   Two-bucket: 0.30 pre-2015 (mainland dividend policy nascent);
#   0.35 post-2015 (SOE bank dividend reforms + tech maturity raise
#   aggregate to ~35%). Ranges 30–40% across years; 0.35 is anchor.
# BUYBACK YIELD SOURCES (two-bucket):
#   Flat 0.001 pre-2020 (de minimis); 0.005 post-2020 (HK-listed
#   tech began material programmes — Tencent, Alibaba, Meituan).
#
# v1 limitations: MCHI is USD-listed; index level fetched in USD,
# but currency=CNY by spec since underlying assets are CNY. Div
# yield from MCHI is USD-distribution / USD-NAV — close to but not
# identical to underlying CNY yield. Historical rfr is constant
# fallback (~2.0%); does NOT capture CGB time variation (2014 peak
# 4.6%, 2020 low 2.5%, 2025 ~1.8%). Phase 5 candidate: ingest
# Wind/CSMAR CGB historical or backfill via ChinaBond JS-rendered
# scrape with playwright.
date,index_level,dividend_yield,buyback_yield,rfr_rate,trailing_eps,analyst_5yr_growth,payout_ratio,source,notes
2011-12-31,,0.0240,0.001,,,,0.30,seed:CN:csv,
2012-12-31,,0.0270,0.001,,,,0.30,seed:CN:csv,
2013-12-31,,0.0280,0.001,,,,0.30,seed:CN:csv,
2014-12-31,,0.0250,0.001,,,,0.30,seed:CN:csv,
2015-12-31,,0.0220,0.001,,,,0.35,seed:CN:csv,payout bucket up
2016-12-31,,0.0260,0.001,,,,0.35,seed:CN:csv,
2017-12-31,,0.0220,0.001,,,,0.35,seed:CN:csv,
2018-12-31,,0.0260,0.001,,,,0.35,seed:CN:csv,trade-war drawdown
2019-12-31,,0.0220,0.001,,,,0.35,seed:CN:csv,
2020-12-31,,0.0190,0.005,,,,0.35,seed:CN:csv,COVID; buyback bucket up
2021-12-31,,0.0210,0.005,,,,0.35,seed:CN:csv,property/regulatory drag
2022-12-31,,0.0270,0.005,,,,0.35,seed:CN:csv,COVID-zero drawdown
2023-12-31,,0.0280,0.005,,,,0.35,seed:CN:csv,
2024-12-31,,0.0250,0.005,,,,0.35,seed:CN:csv,
2025-12-31,,0.0220,0.005,,,,0.35,seed:CN:csv,
