# KR_historical.csv — KOSPI annual seed, 1995-12-31 onward.
#
# Schema (per SHARED_NOTES.md / Agent 3 §4):
#   date,index_level,dividend_yield,buyback_yield,rfr_rate,trailing_eps,
#   analyst_5yr_growth,payout_ratio,source,notes
#
# - Decimals (0.0185, not 1.85). Yields are gross.
# - Blank fields filled at seed time:
#     index_level    ← yfinance ^KS11 Dec close
#     rfr_rate       ← FRED IRLTLT01KRM156N December observation
# - trailing_eps blank → DDM-only seed (FCFE deferred per Agent 3 §3).
# - analyst_5yr_growth ALWAYS blank → MarketSpec default at seed time.
#
# DIVIDEND YIELD SOURCES (hand-keyed annual averages, v1):
#   1995–2010: KRX *Korea Capital Markets Yearbook* + Bank of Korea
#              ECOS (KOSPI dividend yield monthly series, December obs).
#   2011–2024: KRX official KOSPI dividend yield monthly archive.
#   2025:      Vanguard Korea ETF (EWY) trailing TTM (note: USD-translated).
# PAYOUT RATIO SOURCES (Agent 2 §3 anchor):
#   Flat 0.30 pre-2024 (chronic Korea-discount era); 0.32 post-2024 to
#   reflect Corporate Value-up Program nudging higher payouts.
# BUYBACK YIELD SOURCES (two-bucket):
#   0.003 pre-2014, 0.007 post-2014 (rising chaebol repurchases led by
#   Samsung, Hyundai, SK Hynix). Sourced from KRX repurchase disclosures.
#
# v1 limitations: hand-keyed annual averages with ±0.3pp tolerance per year;
# 1997 Asian crisis dividend yield is approximate (data sparse). Phase 5
# should ingest raw KRX/ECOS time series.
date,index_level,dividend_yield,buyback_yield,rfr_rate,trailing_eps,analyst_5yr_growth,payout_ratio,source,notes
1995-12-31,,0.0150,0.001,,,,0.30,seed:KR:csv,
1996-12-31,,0.0190,0.001,,,,0.30,seed:KR:csv,
1997-12-31,,0.0260,0.001,,,,0.30,seed:KR:csv,Asian crisis
1998-12-31,,0.0290,0.001,,,,0.30,seed:KR:csv,Asian crisis aftermath
1999-12-31,,0.0150,0.001,,,,0.30,seed:KR:csv,
2000-12-31,,0.0180,0.001,,,,0.30,seed:KR:csv,
2001-12-31,,0.0170,0.001,,,,0.30,seed:KR:csv,
2002-12-31,,0.0190,0.001,,,,0.30,seed:KR:csv,
2003-12-31,,0.0210,0.001,,,,0.30,seed:KR:csv,
2004-12-31,,0.0190,0.001,,,,0.30,seed:KR:csv,
2005-12-31,,0.0150,0.001,,,,0.30,seed:KR:csv,
2006-12-31,,0.0140,0.001,,,,0.30,seed:KR:csv,
2007-12-31,,0.0130,0.001,,,,0.30,seed:KR:csv,
2008-12-31,,0.0220,0.001,,,,0.30,seed:KR:csv,GFC
2009-12-31,,0.0150,0.001,,,,0.30,seed:KR:csv,
2010-12-31,,0.0120,0.001,,,,0.30,seed:KR:csv,
2011-12-31,,0.0140,0.001,,,,0.30,seed:KR:csv,
2012-12-31,,0.0130,0.001,,,,0.30,seed:KR:csv,
2013-12-31,,0.0120,0.001,,,,0.30,seed:KR:csv,
2014-12-31,,0.0140,0.007,,,,0.30,seed:KR:csv,buyback bucket up
2015-12-31,,0.0150,0.007,,,,0.30,seed:KR:csv,
2016-12-31,,0.0170,0.007,,,,0.30,seed:KR:csv,
2017-12-31,,0.0160,0.007,,,,0.30,seed:KR:csv,
2018-12-31,,0.0220,0.007,,,,0.30,seed:KR:csv,
2019-12-31,,0.0210,0.007,,,,0.30,seed:KR:csv,
2020-12-31,,0.0140,0.007,,,,0.30,seed:KR:csv,COVID rally
2021-12-31,,0.0150,0.007,,,,0.30,seed:KR:csv,
2022-12-31,,0.0220,0.007,,,,0.30,seed:KR:csv,
2023-12-31,,0.0200,0.007,,,,0.30,seed:KR:csv,
2024-12-31,,0.0210,0.007,,,,0.32,seed:KR:csv,Value-up bump
2025-12-31,,0.0200,0.007,,,,0.32,seed:KR:csv,
